2024-10-04 21:23:58,133 - INFO - 用户彭旭查询了订单NO-241003-0071631的商品信息。  校验结果                                           商品名称  开单数量    正常    **   *!  *?
1    \u2705  GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!   1.0  66.0  13.0  0.0   0
2024-10-04 21:24:02,080 - INFO - 用户彭旭查询了订单NO-241003-0071631的商品信息。  校验结果                                           商品名称  开单数量    正常    **   *!  *?
1    \u2705  GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!   1.0  66.0  13.0  0.0   0
2024-10-04 21:27:13,119 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:27:18,223 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:27:26,284 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:27:35,319 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:29:45,331 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:29:47,506 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:30:04,916 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:30:57,671 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:31:00,544 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:31:03,182 - INFO - 用户彭旭查询了订单的商品信息。{'校验结果': {1: '\u2705'}, '商品名称': {1: 'GIGABYTE技嘉 Z790 AORUS PRO X (Z790X冰雕 WIFI7)*!'}, '开单数量': {1: 1.0}, '正常': {1: 66.0}, '**': {1: 13.0}, '*!': {1: 0.0}, '*?': {1: 0}}
2024-10-04 21:36:01,620 - INFO - 用户刘娜查询了订单123的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:09,423 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:09,518 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:10,584 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:11,800 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:13,892 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
2024-10-04 21:36:17,826 - INFO - 用户刘娜查询了订单的商品信息。{'校验结果': {0: '\u2705'}, '商品名称': {0: '直播间-主播专用LED机箱风扇'}, '开单数量': {0: 1.0}, '正常': {0: 2.0}, '**': {0: 0}, '*!': {0: 0}, '*?': {0: 0}}
